id,name,geometry,lat,long
IENWBWC220_0000_0100,Lisfannon,POINT (-7.481461071235821 55.0975236335834),55.0975236335834,-7.481461071235821
IENWBWC190_0000_0200,Marble Hill,POINT (-7.8991601490725385 55.176813628019204),55.176813628019204,-7.8991601490725385
IENWBWC010_0000_0300,Mullaghmore Beach,POINT (-8.44868774512595 54.46028538706312),54.46028538706312,-8.44868774512595
IENWBWC010_0000_0200,Rossnowlagh,POINT (-8.215260258881012 54.553597175024635),54.553597175024635,-8.215260258881012
IENWBWC010_0000_0100,Murvagh,POINT (-8.166136619465279 54.6048963503178),54.6048963503178,-8.166136619465279
IENWBWC120_0000_0100,Naran,POINT (-8.45068282709879 54.84057836340936),54.84057836340936,-8.45068282709879
IENWBWC160_0000_0100,"Portarthur, Derrybeg",POINT (-8.314645796839407 55.099965967660665),55.099965967660665,-8.314645796839407
IENWBWC190_0000_0400,Killahoey,POINT (-7.952463777557224 55.186996145785045),55.186996145785045,-7.952463777557224
IENWBWC220_0000_0300,Portsalon,POINT (-7.607470874997424 55.19088185061988),55.19088185061988,-7.607470874997424
IENWBWC220_0000_0200,Rathmullan,POINT (-7.529732618901889 55.096632800461286),55.096632800461286,-7.529732618901889
IENWBWC230_0000_0100,Stroove,POINT (-6.927674284151395 55.22735459697379),55.22735459697379,-6.927674284151395
IESHBWC060_0000_0200,Ballybunnion North ,POINT (-9.679447486791405 52.513481762377175),52.513481762377175,-9.679447486791405
IESHBWC060_0000_0300,Ballybunnion South,POINT (-9.682491160775427 52.51063450576555),52.51063450576555,-9.682491160775427
IESHBWC040_0000_0100,Ballyheigue,POINT (-9.839432737947023 52.38721890162266),52.38721890162266,-9.839432737947023
IESHBWC040_0000_0200,Banna Strand,POINT (-9.837757163054308 52.33837007917089),52.33837007917089,-9.837757163054308
IESHBWC060_0000_0100,"Cappagh Pier, Kilrush",POINT (-9.499461456069636 52.62835285806389),52.62835285806389,-9.499461456069636
IESHBWC040_0000_0300,Castlegregory,POINT (-10.011579671562558 52.261153705204094),52.261153705204094,-10.011579671562558
IESHBWC070_0000_0100,Fanore,POINT (-9.289819720825367 53.119712081927005),53.119712081927005,-9.289819720825367
IESHBWC040_0000_0250,Fenit,POINT (-9.866864833305964 52.275547559545664),52.275547559545664,-9.866864833305964
IESHBWC100_0000_0100,Lahinch,POINT (-9.349745366122235 52.93345669125097),52.93345669125097,-9.349745366122235
IESHBWC040_0000_0400,Maharabeg,POINT (-10.024071893082583 52.27589626542932),52.27589626542932,-10.024071893082583
IESHBWC070_0000_0300,Spanish Point,POINT (-9.434906381760534 52.8421092496179),52.8421092496179,-9.434906381760534
IESHBWC080_0000_0100,"White Strand, Doonbeg",POINT (-9.54891433881775 52.74805073324018),52.74805073324018,-9.54891433881775
IESHBWC070_0000_0200,"White Strand, Miltown Malbay",POINT (-9.42890901305242 52.86828732605527),52.86828732605527,-9.42890901305242
IEWEBWT170_0700_0100,Grattan Road Beach,POINT (-9.066015581806496 53.259307561532744),53.259307561532744,-9.066015581806496
IEWEBWT170_0700_0200,Ballyloughane Beach,POINT (-9.018315952631244 53.26740697826525),53.26740697826525,-9.018315952631244
IEWEBWC250_0000_0350,"Carrowniskey, Louisburgh",POINT (-9.893972900357182 53.7353186160973),53.7353186160973,-9.893972900357182
IEWEBWC450_0000_0200,Dunmoran Beach,POINT (-8.7270867911695 54.26383317597493),54.26383317597493,-8.7270867911695
IEWEBWC430_0000_0100,Streedagh Beach,POINT (-8.559588975950117 54.40612879600637),54.40612879600637,-8.559588975950117
IEEABWC070_0000_0500,Claremont Beach,POINT (-6.076551666303801 53.390343782057336),53.390343782057336,-6.076551666303801
IEWEBWC010_0000_0250,Trá Inis Oírr (Main Beach),POINT (-9.519194507375774 53.06597356226159),53.06597356226159,-9.519194507375774
IESEBWC010_0000_0250,Ballinesker,POINT (-6.357549656785273 52.3995280357859),52.3995280357859,-6.357549656785273
IEEABWC020_0000_0350,Rush North Beach,POINT (-6.082676309893553 53.52616218197098),53.52616218197098,-6.082676309893553
IENWBWC100_0000_0300,Magheraroarty,POINT (-8.171539895692467 55.14596219889072),55.14596219889072,-8.171539895692467
IENWBWC120_0000_0200,Dooey,POINT (-8.391576188488493 54.87346256716774),54.87346256716774,-8.391576188488493
IESEBWC050_0000_0300,Carne,POINT (-6.348708046498454 52.199711008676935),52.199711008676935,-6.348708046498454
IESHBWC070_0000_0350,"Seafield, Quilty",POINT (-9.493605504053216 52.80665214997674),52.80665214997674,-9.493605504053216
BPNBF050000140001,Ballyrisode,POINT (-9.661317209202503 51.51187036578051),51.51187036578051,-9.661317209202503
BPNBF050000150001,Galley Cove,POINT (-9.74361334004603 51.46122877963751),51.46122877963751,-9.74361334004603
BPNBF050000170001,Red Strand,POINT (-8.926894151738704 51.54716856634777),51.54716856634777,-8.926894151738704
BPNBF050000200001,"Cadogans strand, Schull",POINT (-9.535373163623936 51.53034090978489),51.53034090978489,-9.535373163623936
BPNBF050000210001,Garnish,POINT (-10.134746412314652 51.617094557088315),51.617094557088315,-10.134746412314652
BPNBF050000220001,Inch,POINT (-8.179207727616452 51.7956099205995),51.7956099205995,-8.179207727616452
BPNBF050000230001,Ring (Greenlands Strand),POINT (-7.886640688645231 51.89353545230084),51.89353545230084,-7.886640688645231
BPNBF050000280001,Dooneen Pier,POINT (-9.730517543037216 51.56460422316991),51.56460422316991,-9.730517543037216
BPNBF050000300001,Oysterhaven,POINT (-8.438535874512004 51.702385409844595),51.702385409844595,-8.438535874512004
BPNBF050000320001,Rocky Bay,POINT (-8.330729774015227 51.733897663599734),51.733897663599734,-8.330729774015227
BPNBF050000330001,Ardnahinch,POINT (-8.017746964759574 51.847556487181286),51.847556487181286,-8.017746964759574
BPNBF070000050004,Half Moon,POINT (-6.163620819325095 53.34109563669402),53.34109563669402,-6.163620819325095
BPNBF120000140001,"Dog's Bay, Roundstone",POINT (-9.962930270352555 53.3789925944707),53.3789925944707,-9.962930270352555
BPNBF120000150001,Dumhach,POINT (-10.180639494177106 53.61476202399087),53.61476202399087,-10.180639494177106
BPNBF120000160001,East End Inisbofin,POINT (-10.189174059715997 53.62285580372776),53.62285580372776,-10.189174059715997
BPNBF120000180001,"An Trá Mór, Gorumna Island",POINT (-9.643039129326057 53.25834236543636),53.25834236543636,-9.643039129326057
BPNBF120000190001,"Mannin Bay, Ballyconneely",POINT (-10.063625323010855 53.44270742833284),53.44270742833284,-10.063625323010855
BPNBF120000200001,"Esker, Banagher",POINT (-8.033430644747106 53.198823674101284),53.198823674101284,-8.033430644747106
BPNBF120000210001,"Glassilaun, Killary",POINT (-9.878527606452016 53.614871730562896),53.614871730562896,-9.878527606452016
BPNBF120000220001,Renvyle,POINT (-9.984570569725436 53.607121398035915),53.607121398035915,-9.984570569725436
BPNBF120000230001,Omey Island Strand,POINT (-10.149058668607367 53.53538946585628),53.53538946585628,-10.149058668607367
BPNBF120000240001,Trá Poll na gCaorach Inis Oirr,POINT (-9.507013113806863 53.05548868894651),53.05548868894651,-9.507013113806863
BPNBF130000160001,Béal Bán,POINT (-10.406766571422036 52.18087697223207),52.18087697223207,-10.406766571422036
BPNBF130000170001,Derrymore,POINT (-9.859030956852733 52.23749085269019),52.23749085269019,-9.859030956852733
BPNBF130000200001,Waterville Town Beach,POINT (-10.174264301184664 51.82787966870862),51.82787966870862,-10.174264301184664
BPNBF230000020001,Mornington,POINT (-6.243170946477434 53.71879617251515),53.71879617251515,-6.243170946477434
BPNBF310000100001,Annestown,POINT (-7.271818719472444 52.139238002420974),52.139238002420974,-7.271818719472444
BPNBF310000110001,Ballyquin,POINT (-7.700895644081407 51.97274585469728),51.97274585469728,-7.700895644081407
BPNBF310000120001,Ballyvooney,POINT (-7.442593802304322 52.12719217044971),52.12719217044971,-7.442593802304322
BPNBF310000130001,Boatstrand,POINT (-7.308564704437696 52.135612843384365),52.135612843384365,-7.308564704437696
BPNBF310000140001,Curragh,POINT (-7.710397640370441 51.96599334784181),51.96599334784181,-7.710397640370441
BPNBF310000150001,Goat Island,POINT (-7.761370356681864 51.94555426961283),51.94555426961283,-7.761370356681864
BPNBF310000160001,Guillamene,POINT (-7.16492835915537 52.14416412432502),52.14416412432502,-7.16492835915537
BPNBF310000170001,Kilfarrassey,POINT (-7.231619181666523 52.13354566024382),52.13354566024382,-7.231619181666523
BPNBF310000180001,Newtown Cove,POINT (-7.1663059874480535 52.14314036321852),52.14314036321852,-7.1663059874480535
BPNBF310000190001,Whiting Bay,POINT (-7.771270918831038 51.95183798885562),51.95183798885562,-7.771270918831038
BPNBF310000200001,Woodstown,POINT (-6.983045698860374 52.191077267104625),52.191077267104625,-6.983045698860374
BPNBF310000210001,Stradbally,POINT (-7.460449706201566 52.12253016613254),52.12253016613254,-7.460449706201566
BPNBF330000130001,Cullenstown,POINT (-6.720554367346455 52.2161577756485),52.2161577756485,-6.720554367346455
BPNBF330000140001,Old Bawn,POINT (-6.20226765075288 52.5476817360436),52.5476817360436,-6.20226765075288
BPNBF330000150001,Culletons Gap,POINT (-6.364040039794874 52.379378489589335),52.379378489589335,-6.364040039794874
BPNBF330000180001,Cahore,POINT (-6.197671020703934 52.55767764853742),52.55767764853742,-6.197671020703934
BPNBF330000200001,Ballyhealy,POINT (-6.522997446158209 52.18655477346816),52.18655477346816,-6.522997446158209
BPNBF330000210001,Booley Bay,POINT (-6.905351587253526 52.20065407992571),52.20065407992571,-6.905351587253526
BPNBF330000220001,Grange,POINT (-6.828760650738772 52.1981479488229),52.1981479488229,-6.828760650738772
BPNBF330000230001,St Helens Bay,POINT (-6.323126855329401 52.231912428316065),52.231912428316065,-6.323126855329401
BPNBF330000250001,Kilmore Quay Small Beach,POINT (-6.5874635796482535 52.17373750242098),52.17373750242098,-6.5874635796482535
BPNBF340000070001,Arklow South Beach,POINT (-6.138447484391153 52.79242491146264),52.79242491146264,-6.138447484391153
IEEABWC090_0000_0040,Forty Foot Bathing Place,POINT (-6.113973191458486 53.289547577553456),53.289547577553456,-6.113973191458486
IEEABWC090_0000_0050,Sandycove Beach,POINT (-6.114718703971455 53.28862477801072),53.28862477801072,-6.114718703971455
IEEABWC100_0000_0450,White Rock Beach,POINT (-6.106645683350039 53.26601262566489),53.26601262566489,-6.106645683350039
BPNBF050000400001,"Silver Strand, Sherkin Island",POINT (-9.423860408259223 51.474391934693685),51.474391934693685,-9.423860408259223
BPNBF070000040003,North Bull Wall,POINT (-6.164464005222991 53.351874218981436),53.351874218981436,-6.164464005222991
BPNBF070000060001,Shelley Banks,POINT (-6.182156269826319 53.33881847807769),53.33881847807769,-6.182156269826319
BPNBF340000120001,Kilcoole Beach,POINT (-6.040288414951326 53.1062974682218),53.1062974682218,-6.040288414951326
BPNBF340000090001,South of Bray Harbour,POINT (-6.099209028140317 53.20658296619737),53.20658296619737,-6.099209028140317
BPNBF340000100001,Wicklow Harbour bathing area,POINT (-6.038172323598671 52.98211745944007),52.98211745944007,-6.038172323598671
BPNBF340000110001,Murrough Beach,POINT (-6.046874321551699 52.991885854727634),52.991885854727634,-6.046874321551699
BPNBF130000190001,Littor beach,POINT (-9.580871549691677 52.574289188805565),52.574289188805565,-9.580871549691677
IESWBWC100_0000_0150,Inchydoney East Beach,POINT (-8.859631457671032 51.59691628375292),51.59691628375292,-8.859631457671032
IESWBWC230_0000_0500,Cúas Crom,POINT (-10.264751070092792 51.96463623748177),51.96463623748177,-10.264751070092792
IESHBWC060_0000_0050,Carrigaholt,POINT (-9.706136335111507 52.60840948607227),52.60840948607227,-9.706136335111507
IESHBWC070_0000_0330,Quilty,POINT (-9.4552925523105 52.81883759051347),52.81883759051347,-9.4552925523105
BPNBF120000260001,"Trá na Reilige, An Cheathrú Rua",POINT (-9.57887565073951 53.249522263879705),53.249522263879705,-9.57887565073951
BPNBF130000210001,Cromane,POINT (-9.902587504793608 52.11388591358371),52.11388591358371,-9.902587504793608
BPNBF130000220001,Reenroe,POINT (-10.231453199586024 51.843761353042936),51.843761353042936,-10.231453199586024
BPNBF330000260001,Baginbun,POINT (-6.829352366116187 52.17618905200899),52.17618905200899,-6.829352366116187
BPNBF340000130001,The Cove Arklow,POINT (-6.14513226218938 52.780963239412436),52.780963239412436,-6.14513226218938
BPNBF340000140001,The Cove Greystones,POINT (-6.062408649198217 53.14870880019164),53.14870880019164,-6.062408649198217
IEWEBWC010_0000_0040,Aillebrack/Silverhill Beach,POINT (-10.14887118739486 53.41990566088411),53.41990566088411,-10.14887118739486
BPNBF010000010001,River Barrow Clashganny,POINT (-6.915049660232024 52.56174625142676),52.56174625142676,-6.915049660232024
BPNBF010000020001,River Barrow Bagenalstown,POINT (-6.954662013262349 52.707755392530856),52.707755392530856,-6.954662013262349
BPNBF220000170001,Portacloy Beach,POINT (-9.783084612203263 54.33179264673838),54.33179264673838,-9.783084612203263
