zwemwaterlocatie_id,naam,latitude,longitude
1240,t Zwarte Plasje,51.9593,4.4913
1241,Kralinger Esch,51.9138,4.5253
1243,Plas Krimpenerhout,51.9061,4.6224
1244,De Vogel,51.3394,3.989
1247,Braakmankreek (zwembad),51.316,3.7328
1248,Braakmankreek (zwembad camping),51.3173,3.7224
1249,'t Zand Middenstrand,51.4997,4.9532
1250,Plas op de Markeplaat,51.6278,4.6184
1251,De Kuil,51.6213,4.7046
1252,Asterdplas,51.6273,4.7515
1253,Westpolderplas,51.5967,4.6547
1254,Laarse Heide,51.4799,4.7035
1255,"Galderse Meren, Zwemplas",51.5231,4.7526
1256,Galderse Meren Surfplas in Z.W. hoek,51.5205,4.7516
1257,Galderse Meren Zwemplas N.O. hoek,51.5249,4.7575
1258,"Ottermeerhoeve, Strand",51.4687,4.4384
1261,Hof van Capelle,51.693,4.9913
1262,Plas a/d Reeweg,51.688,4.7209
1263,"Biesbosch Marina, Badzone Strand",51.7057,4.8228
1264,Binnenschelde,51.4872,4.2758
1267,Het Wolfsven,51.4379,5.5835
1268,"Strandbad Nuenen, Grote Bad",51.4558,5.5472
1270,Kempervennen (strandbad),51.3284,5.4257
1276,Ter Spegelt Surfplas,51.3381,5.2977
1286,De IJzeren Man (Eindhoven),51.4493,5.5011
1287,De IJzeren Man Klein (Eindhoven),51.4482,5.5005
1291,'T Witven,51.3979,5.4108
1294,"Heezerenbosch, Heeze",51.3776,5.55
1297,Camping Klein Frankrijk,51.3406,5.5368
1299,Oostappen West,51.424,5.7336
1300,Oostappen Noord,51.4263,5.7371
1301,Oostappen Zuid,51.4243,5.7375
1303,Naturistisch Recreatiepark Elsendorp,51.5772,5.7774
1309,"Berkendonk, Helmond, Zwemzone 120m West van Strandwachthuis",51.4738,5.7206
1310,"Berkendonk Helmond, aan oostzijde Noordstrand",51.4768,5.72
1318,De Kuilen Mill,51.6979,5.7436
1328,Recreatievijver,52.8062,7.0373
1329,"Beersterplas, Beerta",53.1556,7.0939
1330,"Kemperpark, Bellingwolde",53.1006,7.1659
1333,"Pagedal, Stadskanaal",52.995,6.9828
1334,"De Sellingerbeetse, Sellingen",52.9382,7.0906
1335,"Veendiepplassen, Bellingwolde",53.0882,7.1538
1336,"Camping Plathuis, Bourtange",53.0091,7.1833
1337,"Parc Emslandermeer, Vlagtwedde",53.0349,7.116
1338,"Camping Wedderbergen, Wedde",53.082,7.0828
1339,"De Barkhoorn, Sellingen",52.9459,7.1279
1340,"Natte Horizon, Bourtange",53.0029,7.192
1341,'T Nije Hemelriek,52.9725,6.7556
1342,Hof van Saksen,52.9652,6.6735
1343,Baggelhuizen,52.9854,6.5133
1344,'T Veenmeer,53.0829,6.6303
1345,De Vledders,53.0793,6.6633
1346,De Kleine Moere,52.9388,6.6829
1347,Natuurbad Tynaarlo,53.0813,6.6228
1348,"De Berenkuil, Grolloo",52.9419,6.659
1349,Witterzomer,52.9756,6.5068
1350,Het Verlaat,52.8965,7.0009
1351,"Langebosch, Borgerswold Veendam",53.0898,6.8442
1352,"Koetshuis, Veendam",53.1051,6.8494
1353,"Plan Zuid, Oude Pekela",53.0957,7.0036
1354,"Heeresveld, Nieuwe Pekela",53.0822,6.9569
1355,Hunzedal,52.9229,6.8076
1356,"Zuidlaardermeer, Meerwijck",53.1451,6.6938
1358,"Ruitershorn, Muntendam",53.1336,6.8556
1360,De Groenlanden,53.0646,6.7562
1361,"De Tien Heugten, Schoonloo",52.9115,6.7151
1363,"Schildmeer, Steendam",53.2708,6.8404
1364,"Proostmeer, Wagenborgen",53.2571,6.9266
1365,Recreatieplas Engelbert,53.2061,6.645
1366,"Moekesgat, Ter Apel",52.8846,7.057
1367,"Grunostrand Harkstede, startplatform waterskibaan",53.2131,6.6614
1368,"Zwaneveldsgat, Kolham",53.1864,6.7395
1369,"De Eems, Termunten",53.3009,7.0401
1371,"De Bouwte, Midwolda",53.1892,6.9915
1372,"Noordrand Oldambtmeer, Midwolda",53.1939,7.0259
1375,"Lauwersmeer, strand lepelaar",53.4004,6.2126
1376,Lauwersmeer Oostmahorn,53.375,6.1644
1377,"Suyderoogh, Lauwersoog",53.3875,6.2158
1378,"Reitdiep, Garnwerd",53.3059,6.4936
1379,"Ruskenveen, Groningen",53.2066,6.5141
1380,"Lettelberterplas, Lettelbert",53.1919,6.4107
1381,Recreatiepark Westerkwartier,53.1729,6.3201
1382,"Hoornseplas, Groningen",53.178,6.5508
1383,"Paterswoldsemeer, De Lijte",53.1634,6.5773
1384,"Strandheem, Opende",53.1491,6.1882
1385,Ronostrand,53.1001,6.3765
1387,"Recreatieplas Kardinge, Groningen",53.2394,6.6009
1388,"Zeestrand Eemshotel, Delfzijl",53.3348,6.9313
1389,Surfstrand West Belterwijde,52.6858,6.0798
1391,Camping De Hoogte,52.8305,6.1213
1392,Drentse Weelde,52.9117,6.385
1393,Ter Horsterzand,52.8398,6.5003
1394,Ieberenplas,52.9051,6.6729
1395,De Klaverkampen,52.7605,6.2259
1396,`T Loomeer,52.8924,6.7048
1397,De Waterse Koele,52.923,6.2667
1398,"Schoonhoven, Hoogeveen",52.6975,6.5699
1399,Tussenboerslanden,52.7371,6.1583
1400,Veneger Gat Wanneperveen Veneweg,52.697,6.108
1401,Ermerzand,52.7469,6.8064
1402,Ermerstrand,52.7465,6.7996
1404,Bargerhoek,52.7266,6.8946
1405,Grote Rietplas - Rietstrand,52.7394,6.9042
1406,Grote Rietplas - Watersportstrand,52.7351,6.8908
1407,De Kibbelkoele,52.8086,6.7924
1408,Kleine Rietplas,52.7435,6.8889
1409,De Fruithof,52.8292,6.865
1410,Park Kuierpad - zwemvijver,52.8424,6.7279
1411,Kuierpad - surf- en kanovijver,52.8446,6.7327
1412,Park Kuierpad - Speelvijver,52.8428,6.7373
1413,Klinkenvlierse Plas,52.652,6.7702
1414,De Zandpol,52.6954,6.854
1415,Kotermeerstal Zuid Bij Strand,52.5892,6.4668
1416,Camping De Kleine Wolf,52.5435,6.4907
1417,Camping De Klimberg,52.5661,6.5552
1418,Camping De Roos,52.5116,6.5126
1419,Vakantiepark Het Stoetenslagh,52.5862,6.5332
1420,Vakantiepark De Kleine Belties,52.5622,6.5875
1421,Oldemeyer West,52.5472,6.5591
1422,De Vlegge,52.4739,6.6277
1423,Recreatieplas Sibculo,52.4849,6.6439
1424,Netl Park,52.683,5.8834
1425,Noorderplassenstrand,52.3947,5.2208
1426,"Strand in Zicht, Noorderplassen",52.3943,5.2124
1427,'t Bovenwater,52.4854,5.4195
1428,Strand Reigerplas,52.4223,5.4084
1429,"Fantasiestrand, Weerwater",52.3581,5.2171
1430,"Stedenwijkstrand, Weerwater",52.3657,5.2142
1431,Lumièrestrand,52.3622,5.2347
1432,"Spijkvijver, Biddinghuizen",52.4497,5.7741
1433,Dagstrand Camping Breebronne,51.3764,6.0614
1434,Recreatiestrand Camping De Bloksberg,51.6846,5.9959
1437,Dagstrand Peel Beach Heelderpeel,51.1975,5.8855
1438,Recreatiestrand Narvik Homeparc Heelderpeel,51.199,5.8804
1440,Dagstrand De Kasteelse Bossen,51.4692,6.0597
1441,Recreatiestrand Vakantiepark Klein Vink,51.497,6.1864
1442,Dagstrand Fun Beach,51.1769,5.8632
1443,Dagstrand Recreatiepark De Leistert,51.2761,5.9312
1444,Dagstrand Droompark Maasduinen,51.3081,6.1471
1445,Dagstrand Het Meerdal,51.4559,5.9502
1446,Recreatiestrand De Schatberg,51.3833,5.9787
1447,Recreatiestrand Resort Arcen,51.4824,6.2127
1448,Dagstrand Seurenheide,51.5669,6.0766
1449,Recreatiestrand Parc De Witte Vennen,51.5232,6.0365
1451,Zwemplas  Hommelheide,51.0678,5.8867
1453,Badstrand Buren,53.4626,5.8073
1455,Harlingerstrand,53.1669,5.4137
1456,Badstrand Hollum,53.4498,5.614
